info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:33420 deinit in write
info(Server): 127.0.0.1:33432 deinit in write
info(Server): 127.0.0.1:33444 deinit in write
info(Server): 127.0.0.1:33458 deinit in write
info(Server): 127.0.0.1:33462 deinit in write
info(Server): 127.0.0.1:33354 deinit in write
info(Server): 127.0.0.1:33386 deinit in write
info(Server): 127.0.0.1:33362 deinit in write
info(Server): 127.0.0.1:33482 deinit in write
info(Server): 127.0.0.1:33494 deinit in write
info(Server): 127.0.0.1:33496 deinit in write
info(Server): 127.0.0.1:33498 deinit in write
info(Server): 127.0.0.1:33508 deinit in write
info(Server): 127.0.0.1:33522 deinit in write
info(Server): 127.0.0.1:33492 deinit in write
info(Server): 127.0.0.1:33486 deinit in write
info(Server): 127.0.0.1:33466 deinit in write
info(Server): 127.0.0.1:33568 deinit in write
info(Server): 127.0.0.1:33534 deinit in write
info(Server): 127.0.0.1:33570 deinit in write
info(Server): 127.0.0.1:33586 deinit in write
info(Server): 127.0.0.1:33550 deinit in write
info(Server): 127.0.0.1:33560 deinit in write
info(Server): 127.0.0.1:33598 deinit in write
info(Server): 127.0.0.1:33604 deinit in write
info(Server): 127.0.0.1:33620 deinit in write
info(Server): 127.0.0.1:33618 deinit in write
info(Server): 127.0.0.1:33662 deinit in write
info(Server): 127.0.0.1:33646 deinit in write
info(Server): 127.0.0.1:33632 deinit in write
info(Server): 127.0.0.1:33706 deinit in write
info(Server): 127.0.0.1:33698 deinit in write
info(Server): 127.0.0.1:33726 deinit in write
info(Server): 127.0.0.1:33694 deinit in write
info(Server): 127.0.0.1:33676 deinit in write
info(Server): 127.0.0.1:33700 deinit in write
info(Server): 127.0.0.1:33710 deinit in write
info(Server): 127.0.0.1:33740 deinit in write
info(Server): 127.0.0.1:33754 deinit in write
info(Server): 127.0.0.1:33762 deinit in write
info(Server): 127.0.0.1:33680 deinit in write
info(Server): 127.0.0.1:33734 deinit in write
info(Server): 127.0.0.1:33716 deinit in write
info(Server): 127.0.0.1:33766 deinit in write
info(Server): 127.0.0.1:33778 deinit in write
info(Server): 127.0.0.1:33782 deinit in write
info(Server): 127.0.0.1:33796 deinit in write
info(Server): 127.0.0.1:33806 deinit in write
info(Server): 127.0.0.1:33808 deinit in write
info(Server): 127.0.0.1:33810 deinit in write
info(Server): 127.0.0.1:33832 deinit in write
info(Server): 127.0.0.1:33846 deinit in write
info(Server): 127.0.0.1:33848 deinit in write
info(Server): 127.0.0.1:33816 deinit in write
info(Server): 127.0.0.1:33868 deinit in write
info(Server): 127.0.0.1:33884 deinit in write
info(Server): 127.0.0.1:33896 deinit in write
info(Server): 127.0.0.1:33904 deinit in write
info(Server): 127.0.0.1:33920 deinit in write
info(Server): 127.0.0.1:33930 deinit in write
info(Server): 127.0.0.1:33934 deinit in write
info(Server): 127.0.0.1:33940 deinit in write
info(Server): 127.0.0.1:33950 deinit in write
info(Server): 127.0.0.1:33966 deinit in write
info(Server): 127.0.0.1:33980 deinit in write
